clean_text,label,emotion
say hillary clinton refuse testify congress 2012 attack benghazi,0,sadness
candidate withdrawn,1,neutral
ohio ballot issue would address fact 've gone paying 100 epipens 600 n't choice pay drug company know,0,neutral
94 percent winning candidate 2010 money opponent,1,neutral
29 mass shooting committed concealed carrier since 2007 period one licensed civilian meaningfully intervened mass shooting,0,neutral
rhode island today 25 percent household either n't bank account bank account 're still relying high cost financial service like payday loan pawn shop check cashing,1,neutral
say pete buttigieg ran statewide indiana lost 20 point,1,sadness
rep robert hurt voted today end medicare raise health care cost virginia senior,0,neutral
say leadership wisconsin median household income nationally president obama,0,neutral
say dan mccready really admires socialism,0,surprise
property tax increased 20 percent four year chris christie,1,neutral
fleeing syria million child refugee,1,joy
epa director obama said clean power initiative would effect man made co2 emission 's said go look,0,neutral
've seen deficit cut two third,1,neutral
president obama budget request veteran double amount constant dollar appropriated 1980 veteran population larger third,1,neutral
say milwaukee black 55 percent male unemployment 60 percent truancy 50 percent graduation rate worst reading score lead infant mortality,0,disgust
world renowned expert declare live normally practice simple hygiene stay home sick use protective measure vulnerable population,0,neutral
2011 nj economy ranked 47th bottom alabama mississippi wyoming christie nj falling behind,1,neutral
proposed georgia law woman miscarry could become felon,1,neutral
illinois senate barack obama passed tax cut hard working family,1,disgust
half country today either diabetes prediabetes,1,neutral
man storming embassy iraq visited white house 2011,1,disgust
navy seal found 000 trafficked child dead body evergreen ship blocked suez canal,0,disgust
say try hide marijuana hemp field becomes worthless thc go away,1,disgust
say joe biden going control much meat eat,0,neutral
look income average american 're absolutely flat constant dollar since 1979,1,neutral
house republican appropriation bill million senior deprived meal,0,sadness
according atf data 70 percent firearm recovered traced drug cartel crime mexico originated united state,1,neutral
1976 first year pell grant fully funded full pell grant paid 72 percent cost attendance typical four year public college today full pell grant cover 34 percent cost,1,neutral
congress includes 36 people accused spousal abuse 84 arrested drunk driving past year 71 terrible credit,0,fear
past twenty year number homicide committed firearm united state decreased nearly 40 percent number crime involving use firearm also plummeted declining nearly 70 percent,1,neutral
academic achievement student athlete mentioned breath spirit notre dame stanford,0,neutral
last six month president barack obama golfed 10 time held 106 fundraiser job council never met,1,neutral
go back see wayne lapierre run nra testifying front congress favor background check 15 20 year ago,1,neutral
gun country citizen,0,neutral
