text_content,text_length,emotion,misspellings,label,source
"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",19,neutral,3,1,politifact_json
"""Bennie Thompson actively cheer-led riots in the ’90s.""",8,neutral,5,0,politifact_json
"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",15,neutral,3,1,politifact_json
"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",10,anger,4,0,politifact_json
"""I'm the only (Republican) candidate that has actually reduced the size of government.""",13,neutral,3,0,politifact_json
"""There are actually only 30 countries that practice birthright citizenship.""",10,neutral,2,1,politifact_json
"""My husband and I have never gotten a penny of money from the farm.""",14,neutral,2,0,politifact_json
"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",26,neutral,2,1,politifact_json
"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",21,neutral,4,1,politifact_json
"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",13,neutral,4,1,politifact_json
"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",13,neutral,2,0,politifact_json
"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",11,neutral,3,0,politifact_json
"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",13,neutral,2,1,politifact_json
"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",23,neutral,4,0,politifact_json
"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",16,disgust,2,1,politifact_json
"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",22,neutral,3,0,politifact_json
"Tampa Bay is ""leading the state in jobs creation.""",9,neutral,1,0,politifact_json
"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",16,disgust,3,0,politifact_json
"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",24,neutral,5,0,politifact_json
"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",18,neutral,2,0,politifact_json
"Says Donald Trump ""literally has no plans to make higher education more affordable.""",13,anger,2,1,politifact_json
"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",18,neutral,2,0,politifact_json
"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",22,neutral,3,0,politifact_json
"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",12,neutral,3,0,politifact_json
"""In the entire public school system in Camden last year, only three students graduated college ready.""",16,neutral,2,1,politifact_json
"Says he is ""cutting illegal immigration in half.""",8,anger,1,0,politifact_json
"""There is racism physically built into some of our highways.""",10,disgust,2,1,politifact_json
"Austin has ""over 1,000 city employees that make six-figure salaries.""",10,neutral,4,1,politifact_json
"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",13,neutral,3,1,politifact_json
"Says John Bolton ""fundamentally was a man of the left.""",10,disgust,2,0,politifact_json
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",27,neutral,2,0,politifact_json
Says he lived in a colonia while working as a farm worker.,12,neutral,1,0,politifact_json
"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",24,anger,3,1,politifact_json
"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",10,neutral,3,0,politifact_json
"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",17,neutral,3,1,politifact_json
"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",18,neutral,3,1,politifact_json
"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",19,neutral,4,1,politifact_json
"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",17,neutral,5,0,politifact_json
"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",20,neutral,3,1,politifact_json
"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",14,anger,6,1,politifact_json
"On new dollar coins, ""'In God We Trust' is gone!""",10,neutral,3,0,politifact_json
"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",14,neutral,2,0,politifact_json
"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",18,neutral,3,1,politifact_json
"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six times more.""",19,neutral,4,1,politifact_json
"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",10,neutral,4,1,politifact_json
"""This year, the federal government will have more revenue than any year in the history of our country.""",18,neutral,2,0,politifact_json
Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,13,sadness,1,0,politifact_json
"""59 percent of Americans today believe that Barack Obama is still a Muslim.""",13,neutral,2,0,politifact_json
The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies planes that are 35 years old.,25,neutral,0,0,politifact_json
"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",22,surprise,4,0,politifact_json
"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",19,anger,3,0,politifact_json
"""Whether you like to admit it or not, half our general revenue goes to education.""",15,neutral,2,1,politifact_json
"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",29,disgust,2,1,politifact_json
Darryl Hicks had seven ethics violations and didn't pay most of the fines.,13,anger,1,0,politifact_json
"""The word progressive ... was created as a substitute for ‘communist’.""",11,neutral,5,0,politifact_json
"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",22,neutral,2,0,politifact_json
"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",21,neutral,4,0,politifact_json
Says Obama flip-flopped on banning handguns.,6,neutral,1,0,politifact_json
"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",15,neutral,3,0,politifact_json
"""Obamacare (hit) Americans with over $500 billion in new taxes.""",10,sadness,3,0,politifact_json
"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",13,neutral,3,0,politifact_json
"""You can go to Georgia and make about $6,000 more a year as a teacher.""",15,neutral,3,1,politifact_json
"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",20,neutral,3,0,politifact_json
A photo of a burned cat is from the Australia wildfires.,11,anger,0,0,politifact_json
"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",13,neutral,3,0,politifact_json
"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",22,neutral,6,1,politifact_json
"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",32,neutral,3,0,politifact_json
"Says Beto O’Rourke is ""open to abolishing ICE.""",8,neutral,4,1,politifact_json
The minimum wage has risen $2.35 in the last two years. That's 31 percent.,14,neutral,1,0,politifact_json
There is no ‘backlog’ of untested rape kits in Wisconsin.,10,neutral,2,0,politifact_json
"""There are 63 million abortions a year in this country.""",10,neutral,2,0,politifact_json
"Ted Cruz is ""unknown to the vast majority of Texans.""",10,neutral,2,0,politifact_json
"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",18,neutral,3,1,politifact_json
"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hospital.""",17,neutral,2,0,politifact_json
"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",28,neutral,1,1,politifact_json
"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",12,neutral,2,0,politifact_json
"A wind turbine ""could never generate as much energy as was invested in building it.""",15,neutral,2,0,politifact_json
"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",24,neutral,3,0,politifact_json
"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",19,fear,4,0,politifact_json
"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",16,disgust,3,0,politifact_json
"""I saw my father march with Martin Luther King.""",9,fear,2,0,politifact_json
"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",20,neutral,2,0,politifact_json
"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",16,fear,3,0,politifact_json
"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",19,neutral,4,0,politifact_json
