clean_text,label,emotion
ben affleck jennifer garner renew vow intimate ceremony kid,0,joy
kendra wilkinson admits 's open third child husband hank baskett,0,sadness
nina dobrev stunned pretty pink bridesmaid dress julianne hough 's wedding,0,surprise
jay leaf nightclub staff tip people n't happy,0,sadness
harry style delivers opening monologue 'the late late show discusses side effect going solo,1,neutral
thing never knew victoria 's secret angel sara sampaio,1,surprise
entertainment tonight,0,neutral
best male pop artist,1,neutral
tried kim kardashian 's diet two week result n't expected,0,surprise
amber rose laugh molestation victim,0,joy
prince harry 's ex cressida bonas reveals one worry attending royal wedding,0,fear
history selena gomez jennifer aniston 's random friendship bond make perfect sense,1,neutral
kim kardashian reveals north 'hardly talk brother saint,1,sadness
application march life permit made month parkland school shooting,0,fear
sarah jessica parker andy cohen family chocolate factory,0,joy
kate middleton prince william n't show pda like prince harry meghan markle,0,neutral
summary affordable care act,1,neutral
tom brady enjoys biscuit smothered butter syrup thanksgiving cbs boston,1,neutral
taylor swift 's new album reputation finally,1,joy
angelina jolie 's fury brad pitt jennifer aniston move together,0,anger
christina el moussa boyfriend ant anstead see getting married,0,sadness
see kyle 's shocked reaction marissa tell 're dating happens abbey 's thing,1,surprise
harry potter platform pillow cover,1,neutral
trump removing marine navy,0,neutral
u representative promise implement un gun control plan,0,neutral
charlize theron dating partner boyfriend net worth,0,neutral
angelina jolie 's vanity fair cover story,0,surprise
adele planned officiated sang best friend 's wedding backyard,1,joy
kanye west smile battle kardashians 'family feud,0,neutral
scooter braun philanthropy working kanye trying time justin bieber,0,joy
bombshell internet sleuth found smoking gun dems planning violence charlottesville,0,surprise
kesha show support taylor swift heartfelt tweet 'truth always answer,0,joy
angelina jolie 'could lose custody kid brad pitt n't allow access,0,sadness
selena gomez weeknd already trouble exclusive,0,fear
watch bachelorette premiere sneak peek 'is minivan video,1,neutral
two new harry potter book released october,1,joy
time prince harry made u swoon well royal wedding,1,joy
olivia munn say met oprah winfrey bathroom full moon,1,joy
watch pink 's daughter willow give first makeup tutorial instagram,1,neutral
mary kate olsen give rare interview married life,1,neutral
gwen stefani blake shelton put baby wedding plan hold,0,neutral
lea michele detail maintains trim toned figure vegan diet,1,neutral
celine dion 's plastic surgery disaster,0,sadness
kim zolciak biermann getting smaller implant,1,neutral
robert pattinson sienna miller dating friend could turning romance report,0,neutral
angelina jolie get new divorce lawyer amid brad pitt custody battle,0,sadness
florida pass bill legalizing recreational use marijuana,0,neutral
weird marriage rule tom cruise imposed katie holmes 'silence labour 'no public dating split,0,disgust
jennifer aniston brad pitt single get back together,0,sadness
lindsay shookus still pregnant ben affleck baby shocker baby shocker untrue,0,sadness
similar new star crown look real life royal,1,neutral
big bang theory drama behind scene causing show fall apart debunked,0,sadness
abby lee miller open prison sentence,1,sadness
's carissa culiner pregnant watch live tv reveal daily pop,1,joy
inside crazy life met gala jewel diamond,1,joy
blake lively wear bow tie blazer dress cinemacon,1,neutral
camilla eugenie attack kate meghan shock public row,0,fear
gabrielle union us therapy vision board overcome feeling worthlessness,1,neutral
met gala clothing spoke louder instagram like,1,neutral
youtube star kian lawley fired fox 's hate give racist video resurfaces,1,anger
lindsay lohan 's beach club officially happening,1,joy
allow riverdale cast stare soul ominous season key art,1,neutral
man attempt suicide new york post make matt lauer joke,0,sadness
josie pussycat cast reunites film 's sweet,1,joy
josh gad jonah hill laughing mistaken identity,0,joy
prince harry n't get prenup marrying meghan markle,0,neutral
gwen stefani admits 'm obviously end journey musician,0,sadness
look unforgettable moment prince charles walked meghan markle aisle,1,joy
celebrity say 'll move canada donald trump becomes president,0,neutral
ansel elgort shailene woodley fault star reunion globe,1,sadness
marvelous mr maisel season definitely stream year,1,neutral
donald glover compare modern day tupac,1,neutral
amal clooney want hire ugly nanny twin george avoid cheating,0,sadness
ellen degeneres responds divorce rumor,0,sadness
carmelo anthony smile first pic following la la anthony split,1,neutral
bachelor finale arie proposes becca dump lauren,1,sadness
taylor swift told fan new song 'gorgeous joe alwyn,1,joy
together every photo meghan kate harry william centenary armistice service,1,joy
justin bieber hailey baldwin already married see band 's wearing,0,surprise
vanderpump rule return december get first look wild new season,1,neutral
pink 's daughter willow set candy stand backstage rehearsal raise money charity,1,neutral
wag atlanta almost get ready go south star sexiest pic,1,joy
sarah jessica parker share video justin bieber jingle ball,0,joy
celebrity told lose weight yep really,0,neutral
read mckayla maroney 's full victim impact statement larry nassar case,1,neutral
jenni rivera honored boutique grand opening,1,joy
katy perry relieved taylor swift accepted olive branch,0,joy
rihanna 's latest instagram post may explain picture arguing hassan jameel,0,neutral
kate middleton twin prince william say likelihood,0,neutral
gwen stefani forced skip vega performance rupturing eardrum,0,sadness
ben higgins reacts bachelor paradise scandal reflects relationship show producer,1,sadness
queen scolded prince william kneeling palace balcony,0,anger
damon wayans claim clayne crawford injured lethal weapon set,1,sadness
erika jayne got something even better dancing star mirrorball trophy,1,joy
jennifer aniston brad pitt married secret,0,fear
lucy hale apologizes calling 'fat body shaming accusation,1,sadness
adidas kick new york fashion week kendall jenner diverse group model,1,joy
bachelor 's vanessa grimaldi open emotional split nick viall,1,sadness
reason jennifer lawrence lot handle,0,neutral
jennifer aniston justin theroux finally ready baby inside report hired surrogate,0,sadness
demi lovato celebrates year sobriety used lowest moment uplift million,1,joy
nene leakes think half current rhoa cast lose peach real housewife,1,sadness
kim kardashian say 'starstruck white house visit president trump,1,fear
robert pattinson fka twig might marry,0,sadness
lindsay lohan paris hilton 's feud continues heiress call former friend pathological liar,1,sadness
anna faris focused healing broken heart chris pratt split 's time,0,sadness
adventure romance inside year old betty white 's bucket list,0,joy
report obama pleads jay prevent hip hop artist meeting trump,0,sadness
amber rose asked club play song ex,0,sadness
demi lovato stable recovering apparent overdose,1,sadness
tom daley husband dustin lance black release first photo baby boy,1,joy
trump asking congress mexico pay border wall,1,anger
kim kardashian west publicly defend kanye west 'to end source,0,anger
red carpet lipstick hue inspire valentine 's day beauty parker xl,1,joy
kim kardashian want kanye drop tyga record label kylie split,0,sadness
jennifer aniston get back together brad pitt,0,sadness
queen maximum 's sister dead apparent suicide,1,sadness
priyanka chopra nick jonas enjoy double date joe jonas sophie turner open,1,joy
gwen stefani admits vega residency end musical journey settling blake,0,sadness
robert pattinson actor play hero hide gross stuff gross stuff real life,0,joy
supermodel kendall jenner take jay leno spin corvette,0,neutral
's chance rapper baby kensli one cutest father daughter duo,1,joy
nick cannon unconditional love mariah carey return wild 'n,1,sadness
chris soules asks permission travel state,1,neutral
pregnant gwen stefani sport suspicious bump outing son,0,fear
video fifth harmony perform play 'flinch late late show video,0,neutral
source reported blake shelton cheating gwen stefani friend still believe couple walk aisle someday,0,sadness
people really excited see meghan markle 's old style back,0,joy
soleil moon frye hears late father get important message mother 's health hollywood medium,1,sadness
true prince charles would need change name ever became king england due misfortune previous king charles '',0,neutral
inside quietly adventurous career jessica biel th heaven sinner,1,sadness
's 's stake gwyneth paltrow chris martin 's multimillion dollar divorce,0,neutral
former missouri state star clay harbor pick football love 'the bachelorette,1,neutral
miley cyrus liam hemsworth great place relive ups down year,1,neutral
weeknd make joke long distance relationship stage referring ex selena gomez,0,neutral
trump 's alleged 'knew signed comment widow worth caution fit clear pattern,0,fear
taylor swift conor kennedy split amid claim singer came strong obsessed kennedy,0,sadness
kanye west 's net worth name mean hit song meet kim kardashian,0,neutral
's get princess eleanor 's romantic eye beauty look royal season,1,neutral
adam rippon reveals extreme dieting talk body pressure figure skating,1,disgust
kate middleton 's royal title change prince william king ever queen,0,neutral
kim kardashian 's cryptic instagram post sends internet frenzy possible baby name,1,fear
platinum life recap lady take trip vega alycia bella open breakup ty dolla ign,1,neutral
donna karan defends friend harvey weinstein suggests woman may 'asking way dress,1,anger
